modelo,marca,ano,quilometragem,potenciamotor,combustivel,cambio,direcao,cor,portas,finalplaca,vidroeletrico,travaeletrica,arcondicionado,direcaohidraulica,som,airbag,alarme,sensorre,camerare,blindado,valor
PEUGEOT 207 XR 1.4 FLEX 8V 5P,PEUGEOT,2011,97000,1.4,Flex,Manual,Hidráulica,Prata,4,0,1,1,1,1,1,1,1,0,0,0,21500.0
PEUGEOT 207 XR 1.4 FLEX 8V 5P,PEUGEOT,2010,1,1.6,Gasolina,Manual,Hidráulica,Prata,4,1,1,0,1,1,0,0,0,0,0,0,16900.0
PEUGEOT 408 SEDAN ALLURE 2.0 FLEX 16V 4P AUT.,PEUGEOT,2012,85,2.0,Flex,Automático,Hidráulica,Azul,4,8,1,1,1,1,1,1,1,1,0,0,35000.0
PEUGEOT 207 SW XR 1.4 FLEX 8V 5P,PEUGEOT,2012,556,1.0,Flex,Manual,Hidráulica,Prata,2,6,1,1,1,0,1,1,1,0,0,0,16000.0
PEUGEOT 207 SED. PASSION XR SPORT 1.4 FLEX 8V 4P,PEUGEOT,2010,146000,1.4,Flex,Manual,Hidráulica,Cinza,4,3,1,1,1,1,1,0,1,0,0,0,8500.0
PEUGEOT BOXER 2.3 MINIBUS 15/16L TB DIESEL.,PEUGEOT,2014,194000,2.0,Diesel,Manual,Hidráulica,Cinza,4,5,1,1,1,1,1,0,1,0,1,0,65000.0
PEUGEOT 207 SED. PASSION XR SPORT 1.4 FLEX 8V 4P,PEUGEOT,2012,85000,1.6,Gasolina,Manual,Hidráulica,Verde,4,6,1,1,1,1,1,1,1,0,0,0,20000.0
PEUGEOT 408 SEDAN ALLURE 2.0 FLEX 16V 4P MEC.,PEUGEOT,2013,190000,2.0,Flex,Manual,Elétrica,Branco,4,3,1,1,1,1,1,1,1,1,1,0,27000.0
PEUGEOT 207 SW XR SPORT 1.4 FLEX 8V 5P,PEUGEOT,2009,123000,1.4,Flex,Manual,Hidráulica,Preto,4,9,1,1,1,1,0,1,0,0,0,0,14000.0
PEUGEOT 2008 GRIFFE 1.6 FLEX 16V 5P AUT.,PEUGEOT,2020,12200,1.6,Flex,Automático,Hidráulica,Prata,4,0,1,1,1,1,1,1,0,0,0,0,79900.0
PEUGEOT 207 XR 1.4 FLEX 8V 5P,PEUGEOT,2009,144751,1.4,Flex,Manual,Hidráulica,Preto,4,7,1,1,1,1,0,1,1,0,0,0,16900.0
PEUGEOT 206 HOLIDAY 1.4 8V 75CV 3P,PEUGEOT,2008,197000,1.4,Flex,Manual,Hidráulica,Vermelho,4,9,1,0,1,1,1,0,0,0,0,0,7500.0
PEUGEOT 206 PRESENCE 1.4/ 1.4 FLEX 8V 5P,PEUGEOT,2008,206613,1.4,Flex,Manual,Hidráulica,Cinza,4,9,1,1,1,1,1,0,1,0,0,0,14700.0
PEUGEOT 207 XR 1.4 FLEX 8V 5P,PEUGEOT,2009,200000,1.4,Flex,Manual,Hidráulica,Preto,4,8,1,1,1,1,1,0,0,0,0,0,16500.0
PEUGEOT BOXER 2.3 LH EXECUTIVE 15/16L TB DIESEL,PEUGEOT,2012,0,3.0,Diesel,Manual,Hidráulica,Branco,4,4,0,0,1,1,1,0,1,0,0,0,65000.0
PEUGEOT 206 SOLEIL 1.6 5P,PEUGEOT,1999,79000,1.4,Gasolina,Manual,Hidráulica,Branco,4,9,1,1,1,1,0,0,0,0,0,0,7000.0
PEUGEOT 106 SELECTION 1.0 5P,PEUGEOT,2000,11720,1.0,Gasolina,Manual,Mecânica,Azul,4,5,0,1,1,0,1,0,1,0,0,0,8000.0
PEUGEOT 307 SED. PRESENCE 1.6 FLEX 16V 4P,PEUGEOT,2010,131000,1.6,Flex,Manual,Hidráulica,Verde,4,1,1,1,1,1,1,1,1,1,0,0,18200.0
PEUGEOT RCZ,PEUGEOT,2011,1,1.4,Flex,Manual,Hidráulica,Prata,4,4,1,1,1,1,1,0,1,0,0,0,20999.0
PEUGEOT 208 ACTIVE/ACTIVE PACK 1.5 FLEX 8V 5P,PEUGEOT,2014,135,1.5,Flex,Manual,Elétrica,Branco,4,8,1,1,1,1,1,1,1,1,0,0,30000.0
PEUGEOT 208 ALLURE 1.5 FLEX 8V 5P,PEUGEOT,2014,78000,1.5,Flex,Manual,Hidráulica,Preto,4,6,1,1,1,1,1,1,1,0,0,0,34000.0
PEUGEOT 308 ACTIVE 1.6 FLEX 16V 5P MEC.,PEUGEOT,2014,128000,1.5,Flex,Manual,Elétrica,Vermelho,4,9,1,1,1,1,1,1,1,1,0,0,33000.0
PEUGEOT 206 PRESENCE 1.4/ 1.4 FLEX 8V 5P,PEUGEOT,2008,127000,1.4,Flex,Manual,Hidráulica,Prata,4,5,1,1,1,1,1,1,1,1,0,0,14500.0
PEUGEOT 208 ACTIVE 1.2 FLEX 12V 5P MEC.,PEUGEOT,2018,53915,1.2,Flex,Manual,Elétrica,Branco,4,5,1,1,1,0,1,1,1,0,0,0,43900.0
PEUGEOT 207 SED. PASSION XR SPORT 1.4 FLEX 8V 4P,PEUGEOT,2010,351000,1.4,Flex,Manual,Hidráulica,Cinza,4,6,1,1,1,1,0,0,0,0,0,0,15000.0
PEUGEOT 207 XR 1.4 FLEX 8V 5P,PEUGEOT,2011,82000,1.4,Flex,Manual,Hidráulica,Prata,4,2,1,1,1,1,1,0,1,0,0,0,20000.0
PEUGEOT 308 ACTIVE 1.6 FLEX 16V 5P MEC.,PEUGEOT,2013,89000,1.6,Flex,Manual,Elétrica,Prata,4,3,1,1,1,1,1,1,1,1,0,0,32900.0
