modelo,marca,ano,quilometragem,potenciamotor,combustivel,cambio,direcao,cor,portas,finalplaca,vidroeletrico,travaeletrica,arcondicionado,direcaohidraulica,som,airbag,alarme,sensorre,camerare,blindado,valor
PEUGEOT 208 PREMIER 1.6 FLEX 16V 5P,PEUGEOT,2014,98000,1.6,Flex,Manual,Elétrica,Outra,4,6,1,1,1,0,1,1,1,1,0,0,37900.0
PEUGEOT 207 SED. PASSION XR SPORT 1.4 FLEX 8V 4P,PEUGEOT,2012,120000,1.4,Flex,Manual,Hidráulica,Branco,4,9,1,1,1,1,1,1,1,0,0,0,23000.0
PEUGEOT 2008 GRIFFE 1.6 FLEX 16V 5P AUT.,PEUGEOT,2016,76000,1.6,Flex,Automático,Hidráulica,Branco,4,5,1,1,1,1,1,1,1,1,0,0,48000.0
PEUGEOT 207 QUIKSILVER 1.4 FLEX 8V 5P,PEUGEOT,2013,89999,1.4,Flex,Manual,Hidráulica,Cinza,4,7,1,1,1,1,1,0,1,1,1,0,25000.0
PEUGEOT 207 QUIKSILVER 1.4 FLEX 8V 5P,PEUGEOT,2012,160000,1.4,Flex,Manual,Hidráulica,Prata,4,8,1,1,1,1,1,0,0,0,0,0,20000.0
PEUGEOT 2008 ALLURE 1.6 FLEX 16V 5P AUT.,PEUGEOT,2020,27120,1.6,Flex,Automático,Elétrica,Cinza,4,7,1,1,1,0,1,1,1,1,0,0,75000.0
PEUGEOT 408 SEDAN ALLURE 2.0 FLEX 16V 4P AUT.,PEUGEOT,2013,80000,2.0,Flex,Automático,Hidráulica,Azul,4,8,1,1,1,1,1,1,1,1,0,0,36000.0
PEUGEOT 307 MILLESIM200 1.6 FLEX 16V 5P,PEUGEOT,2007,70000,1.6,Flex,Manual,Hidráulica,Preto,4,9,1,1,1,1,1,1,0,0,0,0,11500.0
PEUGEOT 2008 ALLURE 1.6 FLEX 16V 5P AUT.,PEUGEOT,2017,81000,1.6,Flex,Automático,Elétrica,Branco,4,4,1,1,1,0,1,1,1,1,0,0,53500.0
PEUGEOT 207 SW XR 1.4 FLEX 8V 5P,PEUGEOT,2011,142000,1.4,Flex,Manual,Hidráulica,Verde,4,8,1,1,1,1,1,1,1,0,0,0,15700.0
PEUGEOT 307 SED. PRESENCE 2.0 FLEX 16V 5P AUT.,PEUGEOT,2007,208000,2.0,Gasolina,Automático,Elétrica,Preto,4,0,1,1,1,1,1,1,1,1,1,0,15500.0
PEUGEOT 207 SW XR 1.4 FLEX 8V 5P,PEUGEOT,2011,140787,1.4,Flex,Manual,Hidráulica,Cinza,4,8,1,1,1,1,1,0,1,0,0,0,15700.0
PEUGEOT 308 FELINE 2.0 FLEX 16V 5P AUT.,PEUGEOT,2013,77800,2.0,Flex,Automático,Assistida,Preto,4,6,1,1,1,1,1,1,1,0,0,0,34000.0
PEUGEOT 307 MILLESIM200 1.6 FLEX 16V 5P,PEUGEOT,2007,12700,1.6,Flex,Manual,Hidráulica,Preto,4,9,1,1,1,1,1,1,0,0,0,0,12000.0
PEUGEOT 207 XR 1.4 FLEX 8V 5P,PEUGEOT,2013,160000,1.4,Flex,Manual,Hidráulica,Prata,4,8,1,1,1,1,1,0,0,0,0,0,21500.0
PEUGEOT 206 TECHNO 1.0 16V 70CV 5P,PEUGEOT,2002,0,1.0,Gasolina,Manual,Hidráulica,Branco,4,9,1,1,1,1,1,1,1,0,0,0,10500.0
PEUGEOT BOXER 2.3 MINIBUS 15/16L TB DIESEL.,PEUGEOT,2013,198000,2.0,Diesel,Manual,Hidráulica,Cinza,4,5,1,1,1,1,1,1,1,0,1,0,60000.0
PEUGEOT 207 SW XR SPORT 1.4 FLEX 8V 5P,PEUGEOT,2011,160000,1.4,Gasolina,Manual,Hidráulica,Prata,4,5,1,1,1,1,1,1,1,1,1,0,18000.0
PEUGEOT 207 SW XR 1.4 FLEX 8V 5P,PEUGEOT,2011,125968,1.4,Flex,Manual,Hidráulica,Preto,4,3,1,1,1,1,0,0,0,0,0,0,6000.0
PEUGEOT 2008 ALLURE 1.6 FLEX 16V 5P AUT.,PEUGEOT,2018,58000,1.6,Flex,Automático,Elétrica,Branco,4,7,1,1,1,1,1,1,1,1,0,0,59800.0
PEUGEOT 207 QUIKSILVER 1.4 FLEX 8V 5P,PEUGEOT,2011,135000,1.4,Flex,Manual,Elétrica,Prata,4,8,1,1,1,0,1,1,1,0,0,0,16000.0
PEUGEOT 207 SEDAN PASSION XR 1.4 FLEX 8V 4P,PEUGEOT,2010,95217,1.4,Flex,Manual,Hidráulica,Prata,4,6,1,1,1,1,1,1,1,0,0,0,15900.0
PEUGEOT BOXER 2.8 FURG. TB DIES. MED/LONGOT.ALTO,PEUGEOT,2009,128000,2.0,Diesel,Manual,Hidráulica,Azul,4,8,1,0,1,0,0,0,0,1,0,0,65000.0
PEUGEOT 207 XS 1.6 FLEX 16V 5P,PEUGEOT,2011,140000,1.6,Flex,Manual,Hidráulica,Branco,4,3,1,1,1,1,1,0,1,0,0,0,19500.0
PEUGEOT 307 SOLEIL/ PRESENCE 1.6/1.6 FLEX 16V 5P,PEUGEOT,2010,69540,1.6,Flex,Manual,Elétrica,Verde,4,3,1,1,1,0,1,1,1,0,0,0,20000.0
PEUGEOT 207 QUIKSILVER 1.4 FLEX 8V 3P,PEUGEOT,2013,123000,1.4,Flex,Manual,Hidráulica,Vermelho,4,2,1,1,1,0,1,1,0,0,0,0,19000.0
PEUGEOT 207 SW XR 1.4 FLEX 8V 5P,PEUGEOT,2011,135000,1.4,Flex,Manual,Elétrica,Prata,4,8,1,1,1,0,1,1,1,0,0,0,16000.0
PEUGEOT 207 XR 1.4 FLEX 8V 5P,PEUGEOT,2010,165000,1.4,Flex,Manual,Hidráulica,Verde,4,5,1,1,1,1,1,1,1,0,1,0,18000.0
PEUGEOT 207 SEDAN PASSION XR 1.4 FLEX 8V 4P,PEUGEOT,2011,1,1.4,Flex,Manual,Hidráulica,Outra,4,2,1,1,1,1,0,0,1,1,1,0,20000.0
PEUGEOT 207 XR 1.4 FLEX 8V 5P,PEUGEOT,2011,212000,1.4,Flex,Manual,Hidráulica,Prata,4,6,1,1,1,1,1,1,1,0,0,1,17500.0
PEUGEOT 207 XR SPORT 1.4 FLEX 8V 5P,PEUGEOT,2011,96,1.4,Flex,Manual,Hidráulica,Preto,4,4,1,1,1,1,1,1,1,0,0,0,9000.0
PEUGEOT 207 SW XR SPORT 1.4 FLEX 8V 5P,PEUGEOT,2013,68000,1.4,Flex,Manual,Hidráulica,Prata,4,7,1,1,1,1,1,0,1,0,0,0,22000.0
PEUGEOT 207 XR 1.4 FLEX 8V 5P,PEUGEOT,2010,10000,1.4,Flex,Manual,Hidráulica,Prata,4,8,1,1,1,1,0,0,0,0,0,0,13500.0
PEUGEOT 206 SELECTION/ SENSATION 1.0 16V 5P,PEUGEOT,2005,2644453,1.0,Gasolina,Manual,Hidráulica,Prata,4,5,1,0,1,1,0,0,0,0,0,0,10100.0
PEUGEOT 307 PASSION 1.6 16V 110CV 5P,PEUGEOT,2012,68000,1.6,Flex,Manual,Hidráulica,Preto,4,1,1,1,1,1,1,1,1,1,0,0,21900.0
PEUGEOT 208 GRIFFE 1.6 FLEX 16V 5P AUT.,PEUGEOT,2014,70000,1.6,Flex,Automático,Elétrica,Outra,4,1,1,1,1,0,1,1,1,1,0,0,39800.0
PEUGEOT 207 XR 1.4 FLEX 8V 5P,PEUGEOT,2011,155000,1.4,Flex,Manual,Hidráulica,Outra,4,5,1,1,1,1,1,1,1,0,1,0,18200.0
PEUGEOT 207 XR 1.4 FLEX 8V 5P,PEUGEOT,2013,160000,1.4,Flex,Manual,Hidráulica,Prata,4,8,1,1,1,1,1,0,0,0,0,0,20500.0
PEUGEOT HOGGAR ESCAPADE 1.6 FLEX 16V 2P,PEUGEOT,2011,0,1.6,Flex,Manual,Hidráulica,Branco,2,7,1,1,1,1,1,0,1,0,0,0,20000.0
PEUGEOT,PEUGEOT,2011,96,1.4,Flex,Manual,Hidráulica,Preto,4,4,1,1,1,0,1,0,1,0,0,0,10000.0
PEUGEOT 207 ACTIVE 1.4 FLEX 8V 5P,PEUGEOT,2014,95000,1.4,Flex,Manual,Hidráulica,Branco,4,0,1,1,1,1,1,1,0,0,0,0,23000.0
PEUGEOT 208 ACTIVE PACK 1.6 FLEX 16V 5P AUT.,PEUGEOT,2015,73000,1.6,Flex,Automático,Elétrica,Branco,4,8,1,1,1,0,1,1,1,1,0,0,40900.0
PEUGEOT 207 SEDAN PASSION XR 1.4 FLEX 8V 4P,PEUGEOT,2009,60000,1.4,Flex,Manual,Hidráulica,Preto,4,9,1,1,1,1,1,0,1,0,0,0,15000.0
PEUGEOT 208 ACTIVE PACK 1.6 FLEX 16V 5P AUT.,PEUGEOT,2019,17044,1.6,Flex,Automático,Elétrica,Prata,4,3,1,1,1,1,1,1,1,1,1,0,57190.0
PEUGEOT 207 SW XR 1.4 FLEX 8V 5P,PEUGEOT,2011,153000,1.4,Flex,Manual,Hidráulica,Prata,4,3,1,1,1,1,1,1,1,0,0,0,11000.0
PEUGEOT 207 XS 1.6 FLEX 16V 5P,PEUGEOT,2012,76000,1.6,Flex,Manual,Hidráulica,Preto,4,0,1,1,1,1,1,1,1,0,0,0,20000.0
PEUGEOT 208 ACTIVE/ACTIVE PACK 1.5 FLEX 8V 5P,PEUGEOT,2014,140000,1.5,Flex,Manual,Elétrica,Branco,4,6,1,1,1,1,1,1,1,0,0,0,31550.0
PEUGEOT 207 SEDAN PASSION XS 1.6 FLEX 16V 4P,PEUGEOT,2011,150009,1.8,Flex,Manual,Hidráulica,Cinza,4,3,1,1,1,1,0,1,1,0,0,0,16000.0
PEUGEOT 206 PRESENCE 1.4/ 1.4 FLEX 8V 5P,PEUGEOT,2008,170221,1.4,Flex,Manual,Hidráulica,Cinza,4,0,1,1,1,1,1,1,1,0,0,0,12000.0
PEUGEOT 206 SOLEIL/QUIKSILVER 1.0 16V 3P,PEUGEOT,2002,194000,1.0,Gasolina,Manual,Mecânica,Prata,2,4,1,1,1,0,1,0,0,0,0,0,6500.0
PEUGEOT 207 XR 1.4 FLEX 8V 5P,PEUGEOT,2010,107000,1.4,Flex,Manual,Hidráulica,Prata,4,5,1,1,1,1,1,0,0,0,0,0,14000.0
PEUGEOT 308 ACTIVE 1.6 FLEX 16V 5P MEC.,PEUGEOT,2015,70000,1.6,Flex,Manual,Hidráulica,Branco,4,0,0,0,1,0,0,0,0,0,0,0,45000.0
PEUGEOT EXPERT MINIBUS 1.6 TURBO DIESEL,PEUGEOT,2020,10001000,1.6,Diesel,Manual,Hidráulica,Branco,4,1,0,1,0,0,1,1,0,0,0,0,150000.0
PEUGEOT 206 SW PRESENCE 1.4/ 1.4 FLEX 8V 5P,PEUGEOT,2007,150000,1.4,Flex,Manual,Hidráulica,Cinza,4,2,1,1,1,1,0,1,1,0,0,0,7000.0
PEUGEOT 207 XR 1.4 FLEX 8V 5P,PEUGEOT,2013,69000,1.4,Flex,Manual,Hidráulica,Prata,4,4,1,1,1,1,1,0,1,0,0,0,22000.0
PEUGEOT 207 SEDAN PASSION XS 1.6 FLEX 16V 4P,PEUGEOT,2009,152000,1.6,Flex,Manual,Hidráulica,Cinza,4,9,1,1,1,1,1,1,1,1,1,0,20000.0
PEUGEOT 206 SELECTION/ SENSATION 1.0 16V 3P,PEUGEOT,2002,170282,1.0,Gasolina,Manual,Hidráulica,Cinza,4,9,1,1,1,1,0,0,1,0,0,0,13000.0
PEUGEOT 207 XR 1.4 FLEX 8V 5P,PEUGEOT,2011,158000,1.4,Flex,Manual,Hidráulica,Prata,4,4,1,1,1,1,0,0,0,0,1,0,17000.0
PEUGEOT 207 SEDAN PASSION XS 1.6 FLEX 16V 4P,PEUGEOT,2012,100,1.4,Gasolina,Manual,Hidráulica,Branco,4,8,1,1,1,1,1,0,0,0,0,0,18000.0
PEUGEOT 307 PASSION 1.6 16V 110CV 5P,PEUGEOT,2005,0,1.6,Gasolina,Manual,Hidráulica,Prata,4,9,1,1,0,1,0,0,0,0,0,0,9000.0
PEUGEOT 207 SW XR 1.4 FLEX 8V 5P,PEUGEOT,2010,110000,1.4,Flex,Manual,Hidráulica,Verde,4,1,1,1,1,1,1,0,0,1,0,0,16000.0
PEUGEOT 206 SOLEIL/QUIKSILVER 1.0 16V 3P,PEUGEOT,2003,170282,1.0,Gasolina,Manual,Hidráulica,Cinza,4,9,0,1,1,1,1,0,1,0,0,0,11000.0
PEUGEOT 207 XR 1.4 FLEX 8V 3P,PEUGEOT,2011,110,1.4,Flex,Manual,Hidráulica,Prata,4,2,1,1,1,1,1,1,1,0,0,0,15500.0
PEUGEOT 2008 ALLURE 1.6 FLEX 16V 5P AUT.,PEUGEOT,2018,60000,1.6,Flex,Automático,Elétrica,Branco,4,7,1,1,1,1,1,1,1,1,0,0,59500.0
PEUGEOT BOXER 2.3 MINIBUS 15/16L TB DIESEL.,PEUGEOT,2014,130000,2.0,Diesel,Manual,Hidráulica,Branco,4,2,1,1,1,1,1,1,1,1,1,0,74000.0
PEUGEOT 207 SED. PASSION XR SPORT 1.4 FLEX 8V 4P,PEUGEOT,2010,100000,1.4,Flex,Manual,Hidráulica,Cinza,4,6,1,1,1,1,1,0,1,0,0,0,13500.0
PEUGEOT 207 XR 1.4 FLEX 8V 5P,PEUGEOT,2012,0,1.4,Flex,Manual,Hidráulica,Vermelho,4,4,1,1,1,1,0,0,1,0,0,0,21999.0
PEUGEOT 408 SEDAN ALLURE 2.0 FLEX 16V 4P MEC.,PEUGEOT,2012,0,2.0,Gás Natural,Manual,Hidráulica,Prata,4,4,1,1,1,1,1,1,1,1,0,0,28499.0
PEUGEOT 207 SW XR 1.4 FLEX 8V 5P,PEUGEOT,2011,1,1.4,Flex,Manual,Hidráulica,Prata,4,6,1,1,1,1,1,0,1,1,0,0,20999.0
PEUGEOT 208 SPORT 1.6 FLEX 16V 5P MEC.,PEUGEOT,2017,80000,1.6,Flex,Manual,Elétrica,Branco,4,6,1,1,1,1,1,1,1,1,0,0,46500.0
PEUGEOT 308 ACTIVE 1.6 FLEX 16V 5P MEC.,PEUGEOT,2014,89000,1.6,Flex,Manual,Hidráulica,Branco,4,6,1,1,1,1,1,1,1,1,1,0,38500.0
PEUGEOT 207 SEDAN PASSION XS 1.6 FLEX 16V 4P AUT,PEUGEOT,2011,109241,1.6,Flex,Automático,Hidráulica,Cinza,4,2,1,1,1,1,0,1,1,0,0,0,20500.0
PEUGEOT 2008 GRIFFE 1.6 FLEX 16V 5P AUT.,PEUGEOT,2016,80000,1.6,Flex,Automático,Hidráulica,Branco,4,0,1,1,1,1,1,1,1,1,1,0,52000.0
PEUGEOT 207 QUIKSILVER 1.4 FLEX 8V 5P,PEUGEOT,2011,1,1.4,Flex,Manual,Hidráulica,Prata,4,2,1,1,1,1,1,1,1,0,0,0,20999.0
PEUGEOT 207 SEDAN PASSION XR 1.4 FLEX 8V 4P,PEUGEOT,2013,120000,1.4,Flex,Manual,Hidráulica,Branco,4,4,1,1,1,1,0,1,0,0,0,0,10000.0
PEUGEOT 207 XR SPORT 1.4 FLEX 8V 5P,PEUGEOT,2009,150896,1.4,Flex,Manual,Hidráulica,Prata,4,6,1,1,1,1,1,0,1,1,0,0,19000.0
PEUGEOT 208 PREMIER 1.6 FLEX 16V 5P,PEUGEOT,2014,98600,1.6,Flex,Manual,Elétrica,Outra,4,6,1,1,1,0,1,1,1,1,0,0,35900.0
PEUGEOT 206 PRESENCE 1.4/ 1.4 FLEX 8V 5P,PEUGEOT,2008,170222,1.4,Flex,Semi-Automático,Hidráulica,Prata,4,0,1,1,1,1,1,1,1,0,0,0,12000.0
PEUGEOT 2008 GRIFFE 1.6 FLEX 16V 5P AUT.,PEUGEOT,2020,12000,1.6,Flex,Automático,Elétrica,Branco,4,8,1,1,1,1,1,1,1,1,1,0,81000.0
PEUGEOT 207 SEDAN PASSION XS 1.6 FLEX 16V 4P,PEUGEOT,2010,113000,1.6,Flex,Manual,Hidráulica,Preto,4,7,1,1,1,1,1,1,1,0,0,0,19000.0
PEUGEOT 206 SENSATION 1.4 FLEX 8V 5P,PEUGEOT,2008,1,1.4,Flex,Manual,Hidráulica,Prata,4,6,1,1,1,1,1,1,1,0,0,0,12500.0
PEUGEOT 307 SOLEIL/ PRESENCE 1.6/1.6 FLEX 16V 5P,PEUGEOT,2011,102000,1.6,Flex,Manual,Hidráulica,Verde,4,5,1,1,1,1,1,1,0,0,0,0,22000.0
PEUGEOT BOXER 2.3 MINIBUS 15/16L TB DIESEL.,PEUGEOT,2014,198000,2.0,Diesel,Manual,Hidráulica,Cinza,4,5,1,1,1,1,1,1,1,0,1,0,60000.0
PEUGEOT 408,PEUGEOT,2011,50000,2.0,Flex,Manual,Hidráulica,Prata,4,5,1,1,1,1,1,1,1,0,0,0,26000.0
PEUGEOT 208 ALLURE 1.6 FLEX 16V 5P AUT.,PEUGEOT,2018,54900,1.6,Flex,Automático,Elétrica,Branco,4,7,1,1,1,1,1,1,1,1,0,0,55000.0
PEUGEOT 308 GRIFFE 1.6 TURBO FLEX 16V 5P AUT.,PEUGEOT,2018,53000,1.6,Flex,Automático,Elétrica,Branco,4,8,1,1,1,0,1,0,0,0,1,0,69990.0
PEUGEOT 307 SOLEIL/ PRESENCE 1.6/1.6 FLEX 16V 5P,PEUGEOT,2011,100000,1.6,Flex,Manual,Elétrica,Prata,4,0,1,1,1,0,1,1,1,0,0,0,23000.0
PEUGEOT 2008 GRIFFE 1.6 FLEX 16V 5P AUT.,PEUGEOT,2016,72000,1.6,Flex,Automático,Elétrica,Branco,4,4,1,1,1,1,1,1,1,1,0,0,58900.0
PEUGEOT 207 XR SPORT 1.4 FLEX 8V 5P,PEUGEOT,2013,150000,1.4,Flex,Manual,Hidráulica,Branco,4,8,1,1,1,1,1,1,1,1,0,0,21000.0
PEUGEOT 207 SEDAN PASSION XS 1.6 FLEX 16V 4P,PEUGEOT,2010,125000,1.4,Flex,Manual,Hidráulica,Branco,4,0,1,1,1,1,0,0,0,0,0,0,17500.0
PEUGEOT 207 SEDAN PASSION XR 1.4 FLEX 8V 4P,PEUGEOT,2012,96000,1.4,Flex,Manual,Hidráulica,Prata,4,6,1,1,1,1,1,0,1,1,0,0,24500.0
PEUGEOT 206 SOLEIL 1.0 16V 5P,PEUGEOT,2003,123,1.0,Gasolina,Manual,Hidráulica,Azul,4,8,1,1,1,1,1,0,0,0,0,0,9000.0
PEUGEOT 206 FELINE 1.4/ 1.4 FLEX 8V 5P,PEUGEOT,2005,140,1.4,Gasolina,Automático,Hidráulica,Prata,4,3,1,1,1,1,0,1,0,0,0,0,9000.0
PEUGEOT 207 SEDAN PASSION XR 1.4 FLEX 8V 4P,PEUGEOT,2012,140000,1.4,Flex,Manual,Hidráulica,Vermelho,4,5,1,1,1,1,1,1,1,1,0,0,21500.0
PEUGEOT 207 SEDAN PASSION XR 1.4 FLEX 8V 4P,PEUGEOT,2010,110000,1.4,Gasolina,Manual,Hidráulica,Preto,4,4,1,1,1,1,1,0,0,0,0,0,18000.0
PEUGEOT 307 PASSION 2.0 16V 138CV 5P,PEUGEOT,2007,208000,2.0,Gasolina,Automático,Elétrica,Preto,4,0,1,1,1,1,1,1,1,0,1,0,16500.0
PEUGEOT 207 SEDAN PASSION XR 1.4 FLEX 8V 4P,PEUGEOT,2012,195000,1.4,Flex,Manual,Hidráulica,Prata,4,0,1,1,1,1,1,0,0,0,0,0,19000.0
PEUGEOT 206,PEUGEOT,2009,114396,1.4,Gasolina,Manual,Hidráulica,Outra,4,9,1,1,1,1,1,0,0,0,0,0,15000.0
PEUGEOT 207 QUIKSILVER 1.4 FLEX 8V 3P,PEUGEOT,2011,3000000,1.4,Flex,Manual,Hidráulica,Prata,4,6,1,1,1,1,0,1,1,0,0,0,24000.0
PEUGEOT 207 XR SPORT 1.4 FLEX 8V 5P,PEUGEOT,2012,133000,1.4,Flex,Manual,Hidráulica,Branco,4,7,1,1,1,1,1,1,1,0,0,0,22500.0
PEUGEOT 208 PREMIER 1.6 FLEX 16V 5P,PEUGEOT,2014,99100,1.6,Flex,Manual,Elétrica,Outra,4,6,1,1,1,0,1,1,1,1,0,0,37900.0
PEUGEOT 207 QUIKSILVER 1.4 FLEX 8V 5P,PEUGEOT,2013,0,1.4,Flex,Manual,Hidráulica,Cinza,4,6,1,1,1,1,0,0,1,0,0,0,21200.0
PEUGEOT 207 SEDAN PASSION XS 1.6 FLEX 16V 4P,PEUGEOT,2011,167000,1.4,Flex,Manual,Hidráulica,Cinza,4,3,1,1,1,1,1,0,1,0,0,0,17500.0
PEUGEOT 205 CJ CABRIOLET,PEUGEOT,2005,155453,1.6,Gasolina,Manual,Hidráulica,Prata,4,7,0,0,0,0,0,0,0,0,0,0,0.0
PEUGEOT 207 SEDAN PASSION XR 1.4 FLEX 8V 4P,PEUGEOT,2010,123000,1.4,Flex,Manual,Hidráulica,Vermelho,4,1,1,0,1,1,1,0,0,0,0,0,18000.0
PEUGEOT 206 PRESENCE 1.4/ 1.4 FLEX 8V 5P,PEUGEOT,2004,212000,1.4,Gasolina,Manual,Hidráulica,Preto,4,7,1,1,0,1,1,1,0,0,0,0,9000.0
PEUGEOT 208 GRIFFE 1.6 FLEX 16V 5P AUT.,PEUGEOT,2015,92010,1.6,Flex,Automático,Elétrica,Prata,4,2,0,0,0,0,0,0,0,0,0,0,42900.0
PEUGEOT 207 XR 1.4 FLEX 8V 5P,PEUGEOT,2013,89000,1.4,Flex,Manual,Hidráulica,Prata,4,7,1,1,1,1,1,0,1,0,0,0,0.0
PEUGEOT BOXER 2.3 MINIBUS 15/16L TB DIESEL.,PEUGEOT,2012,273,2.0,Diesel,Manual,Hidráulica,Branco,4,5,0,0,1,1,0,0,0,0,0,0,59000.0
PEUGEOT 207 XS 1.6 FLEX 16V 5P AUT.,PEUGEOT,2013,120000,1.6,Flex,Automático,Hidráulica,Cinza,4,6,1,1,1,1,1,1,1,1,0,0,0.0
PEUGEOT 2008 GRIFFE 1.6 FLEX 16V 5P AUT.,PEUGEOT,2019,30000,1.6,Flex,Automático,Elétrica,Branco,4,5,1,1,1,0,1,1,1,1,1,0,73000.0
PEUGEOT 208 ALLURE 1.2 FLEX 12V 5P MEC.,PEUGEOT,2019,21000,1.2,Flex,Manual,Elétrica,Branco,4,3,1,1,1,1,1,1,1,1,1,0,54800.0
PEUGEOT 208 ACTIVE PACK 1.6 FLEX 16V 5P AUT.,PEUGEOT,2015,86000,1.6,Flex,Automático,Elétrica,Vermelho,4,0,1,1,1,0,1,1,1,1,0,0,38500.0
PEUGEOT 207 SW XR 1.4 FLEX 8V 5P,PEUGEOT,2011,110000,1.4,Flex,Manual,Hidráulica,Prata,4,2,1,1,1,1,1,1,1,1,0,0,14300.0
PEUGEOT 207 XR 1.4 FLEX 8V 5P,PEUGEOT,2011,1,1.4,Flex,Manual,Hidráulica,Prata,4,2,1,1,1,1,1,0,1,0,0,0,19500.0
PEUGEOT 208 ACTIVE/ACTIVE PACK 1.5 FLEX 8V 5P,PEUGEOT,2014,80200,1.5,Flex,Manual,Elétrica,Prata,4,0,1,1,1,1,1,1,1,0,0,0,29000.0
PEUGEOT 207 SW XR 1.4 FLEX 8V 5P,PEUGEOT,2011,200000,1.4,Flex,Manual,Hidráulica,Cinza,4,8,1,1,1,1,1,0,1,1,0,0,15000.0
PEUGEOT 207,PEUGEOT,2011,147,1.4,Flex,Manual,Hidráulica,Preto,4,5,1,1,1,1,1,1,1,0,0,0,19990.0
PEUGEOT 206 PRESENCE 1.4/ 1.4 FLEX 8V 5P,PEUGEOT,2008,137,1.4,Flex,Manual,Hidráulica,Prata,4,8,1,1,1,1,1,0,1,0,0,0,9000.0
PEUGEOT 207 XR SPORT 1.4 FLEX 8V 5P,PEUGEOT,2009,95000,1.4,Flex,Manual,Hidráulica,Prata,4,6,1,1,1,1,1,0,1,1,0,0,18900.0
PEUGEOT 408 SEDAN ALLURE 2.0 FLEX 16V 4P MEC.,PEUGEOT,2012,111111,2.0,Flex,Manual,Elétrica,Verde,4,6,1,1,1,0,1,1,0,1,0,0,23000.0
PEUGEOT 207 SEDAN PASSION XR 1.4 FLEX 8V 4P,PEUGEOT,2010,83123,1.4,Flex,Manual,Hidráulica,Preto,4,6,0,0,0,0,0,0,0,0,0,0,14990.0
PEUGEOT 207 XR 1.4 FLEX 8V 5P,PEUGEOT,2012,118000,1.4,Flex,Manual,Hidráulica,Preto,4,2,1,1,1,1,0,0,1,1,0,0,16000.0
PEUGEOT 2008 GRIFFE 1.6 FLEX 16V 5P AUT.,PEUGEOT,2016,82000,1.6,Flex,Automático,Hidráulica,Branco,4,0,1,1,1,1,1,1,1,1,1,0,53000.0
PEUGEOT 207 SED. PASSION XR SPORT 1.4 FLEX 8V 4P,PEUGEOT,2009,137,1.4,Flex,Manual,Hidráulica,Preto,4,4,1,0,1,1,1,0,0,0,0,0,15000.0
PEUGEOT 207 SW XR 1.4 FLEX 8V 5P,PEUGEOT,2013,78000,1.4,Flex,Manual,Hidráulica,Branco,4,4,1,1,1,1,1,1,0,0,0,0,22000.0
PEUGEOT 207 SW XR 1.4 FLEX 8V 5P,PEUGEOT,2011,142675,1.4,Flex,Manual,Hidráulica,Cinza,4,8,1,1,1,1,1,1,1,0,0,0,15300.0
PEUGEOT 207 XR 1.4 FLEX 8V 5P,PEUGEOT,2012,140893,1.4,Flex,Manual,Hidráulica,Vermelho,4,4,1,1,1,1,1,0,1,1,0,0,22000.0
PEUGEOT 207 XR 1.4 FLEX 8V 5P,PEUGEOT,2013,123000,1.4,Flex,Manual,Hidráulica,Vermelho,4,2,1,1,1,1,1,0,1,1,0,0,20500.0
PEUGEOT 207 SW XR SPORT 1.4 FLEX 8V 5P,PEUGEOT,2011,125000,1.4,Flex,Manual,Hidráulica,Prata,4,0,1,1,1,1,1,0,1,0,0,0,18500.0
PEUGEOT 208 GRIFFE 1.6 FLEX 16V 5P AUT.,PEUGEOT,2014,70345,1.6,Flex,Automático,Assistida,Branco,4,2,1,1,1,0,1,1,1,1,0,0,39000.0
PEUGEOT 408 SEDAN GRIFFE 1.6 TURBO 16V 4P AUT.,PEUGEOT,2013,73000,1.6,Gasolina,Automático,Elétrica,Branco,4,0,1,1,1,0,1,1,1,1,0,0,41000.0
PEUGEOT 206 TECHNO 1.0 16V 70CV 5P,PEUGEOT,2005,121000,1.0,Gasolina,Manual,Hidráulica,Cinza,4,6,1,1,1,1,1,0,1,0,0,0,12000.0
PEUGEOT 207 SEDAN PASSION XR 1.4 FLEX 8V 4P,PEUGEOT,2010,144,1.4,Flex,Automático,Hidráulica,Cinza,4,9,1,1,1,1,1,1,1,0,0,0,19000.0
PEUGEOT 207 SW XR SPORT 1.4 FLEX 8V 5P,PEUGEOT,2013,68000,1.4,Flex,Manual,Hidráulica,Prata,4,7,1,1,1,1,1,0,1,0,0,0,21500.0
PEUGEOT 307 SW ALLURE 2.0 16V 5P AUT.,PEUGEOT,2008,194633,2.0,Gasolina,Automático,Hidráulica,Azul,4,0,1,1,1,1,1,1,1,0,0,0,20000.0
PEUGEOT 206 SOLEIL 1.6 5P,PEUGEOT,2000,126000,1.6,Gasolina,Manual,Hidráulica,Branco,4,9,1,1,1,1,0,0,0,0,0,0,12000.0
PEUGEOT 207 SEDAN PASSION XS 1.6 FLEX 16V 4P,PEUGEOT,2012,110000,1.6,Flex,Manual,Hidráulica,Prata,4,5,1,1,1,1,1,1,1,1,0,0,22900.0
PEUGEOT 208 ACTIVE/ACTIVE PACK 1.5 FLEX 8V 5P,PEUGEOT,2014,75000,1.5,Flex,Manual,Hidráulica,Preto,4,6,1,1,1,1,1,1,1,1,0,0,29800.0
