Modelo,Marca,Tipo de veículo,Ano,Quilometragem,Potência do motor,Combustível,Câmbio,Direção,Cor,Portas,Final de placa,Vidro elétrico,Trava elétrica,Ar condicionado,Direção hidráulica,Som,Air bag,Alarme,Sensor de ré,Câmera de ré,Blindado,Valor
GM - CHEVROLET ASTRA ADVANTAGE 2.0 MPFI 8V FLEXPOWER 5P,GM - CHEVROLET,Hatch,2010,116000,2,Flex,Manual,Hidráulica,Preto,null,7,1,1,1,1,1,0,1,0,0,0,19500
TOYOTA YARIS XS SEDAN 1.5 FLEX 16V 4P AUT.,TOYOTA,Sedã,2019,52,1.5,Flex,Automático,Hidráulica,Branco,4,7,1,1,1,1,1,1,1,1,1,0,68500
VW - VOLKSWAGEN GOL TRENDLINE 1.6 T.FLEX 8V 5P,VW - VOLKSWAGEN,Hatch,2018,90000,1.6,Gasolina,Manual,null,null,4,null,1,0,1,0,0,1,0,0,0,0,38000
TOYOTA HILUX CD SRX 4X4 2.8 TDI 16V DIESEL AUT.,TOYOTA,Pick-up,2017,88727,2,Diesel,Automático,Hidráulica,Branco,4,0,1,1,1,1,1,1,1,0,0,0,174800
GM - CHEVROLET COBALT LT 1.4 8V FLEXPOWER/ECONOFLEX 4P,GM - CHEVROLET,Sedã,2012,120000,1.4,Gasolina,Manual,Hidráulica,Preto,4,0,1,1,1,1,1,1,1,0,0,0,28000
JEEP RENEGADE LONGITUDE 1.8 4X2 FLEX 16V AUT.,JEEP,Hatch,2018,18000,1.8,Flex,Automático,null,Cinza,4,4,0,0,1,0,0,1,1,0,0,0,53000
TOYOTA,TOYOTA,null,2013,154000,null,Diesel,Automático,null,null,4,8,1,1,1,1,1,1,1,1,1,0,128000
RENAULT CAPTUR INTENSE 1.6 16V FLEX 5P AUT.,RENAULT,null,2019,35792,1.6,Flex,Automático,Elétrica,Cinza,4,8,1,1,1,0,0,0,1,0,0,0,71990
FORD FOCUS 1.6 S/SE/SE PLUS FLEX 8V/16V 5P,FORD,Sedã,2015,80,2,Flex,Automático,Elétrica,Branco,4,7,1,1,1,1,1,1,1,1,0,0,47000
FORD RANGER XLS 2.2 4X4 CD DIESEL MEC.,FORD,Van/Utilitário,2017,59000,2,Diesel,Manual,Elétrica,Branco,4,0,1,1,1,1,1,1,1,1,0,0,117000
GM - CHEVROLET ONIX HATCH ACTIV 1.4 8V FLEX 5P AUT.,GM - CHEVROLET,Hatch,2017,51000,1.4,Flex,Automático,Elétrica,Branco,4,null,1,1,1,0,1,1,1,1,1,0,52500
TOYOTA ETIOS X 1.3 FLEX 16V 5P MEC.,TOYOTA,Hatch,2013,220000,1.3,Flex,Manual,Elétrica,Preto,4,null,1,1,1,0,1,1,1,0,0,0,26000
FORD KA 1.5 SEDAN SEL 12V FLEX 4P MEC.,FORD,Sedã,2018,27000,1.5,Flex,Manual,Elétrica,Preto,4,0,1,1,1,1,1,1,1,1,0,0,44000
FIAT PALIO CELEBRATION 1.0 FIRE FLEX 8V 4P,FIAT,Passeio,2011,146,1,Flex,Manual,Hidráulica,Vermelho,4,1,1,1,1,1,1,1,1,1,1,0,19000
GM - CHEVROLET ONIX HATCH LTZ 1.4 8V FLEXPOWER 5P MEC.,GM - CHEVROLET,Hatch,2017,42000,1.4,Flex,Manual,Elétrica,Branco,4,5,1,1,1,0,1,1,1,0,0,0,49000
FORD RANGER XLT 3.2 20V 4X4 CD DIESEL AUT.,FORD,Pick-up,2020,9000,3,Diesel,Automático,Hidráulica,Cinza,4,6,1,1,1,1,1,1,1,1,1,0,186000
FIAT PUNTO 1.4 FIRE FLEX 8V 5P,FIAT,Hatch,2010,140000,1.4,Flex,Manual,null,Prata,4,6,1,1,1,1,1,0,1,1,0,0,22300
FORD RANGER STORM 3.2 20V 4X4 CD DIESEL AUT,FORD,Pick-up,2020,3600,3,Diesel,Automático,Elétrica,Azul,4,0,1,1,1,0,1,1,1,1,1,0,175000
VW - VOLKSWAGEN GOL (NOVO) 1.0 MI TOTAL FLEX 8V 4P,VW - VOLKSWAGEN,Hatch,2013,112000,1,Flex,Manual,Hidráulica,Prata,4,7,1,1,1,1,1,0,1,0,0,0,26500
FIAT TORO FREEDOM 2.0 16V 4X4 DIESEL AUT.,FIAT,Pick-up,2019,38000,2,Diesel,Automático,Hidráulica,Vermelho,4,4,1,1,1,1,1,1,1,1,1,0,117000
VW - VOLKSWAGEN GOL 1.0 PLUS 8V 2P,VW - VOLKSWAGEN,Hatch,2001,1000000000,1,Gasolina,Manual,Mecânica,Branco,4,0,0,0,1,0,0,0,0,0,0,0,800000
RENAULT SANDERO EXPRESSION HI-FLEX 1.6 8V 5P,RENAULT,Hatch,2013,89000,1.6,Flex,Manual,Hidráulica,Preto,4,4,1,1,1,1,1,0,1,0,0,0,26500
FIAT MOBI LIKE 1.0 FIRE FLEX 5P.,FIAT,Hatch,2021,23,1,Flex,Manual,Hidráulica,Vermelho,4,null,1,1,1,1,0,1,0,0,0,0,46990
VW - VOLKSWAGEN POLO 1.6 E-FLEX 8V 5P,VW - VOLKSWAGEN,Sedã,2003,180000,1.6,Gasolina,Manual,Elétrica,Prata,4,3,1,1,1,1,1,1,1,0,0,0,12000
TOYOTA ETIOS XS 1.3 FLEX 16V 5P MEC.,TOYOTA,Hatch,2013,111591,1.3,Flex,Manual,Hidráulica,Prata,4,null,1,1,1,1,1,1,1,0,0,0,29900
