Modelo,Marca,Tipo de veículo,Ano,Quilometragem,Potência do motor,Combustível,Câmbio,Direção,Cor,Portas,Final de placa,Vidro elétrico,Trava elétrica,Ar condicionado,Direção hidráulica,Som,Air bag,Alarme,Sensor de ré,Câmera de ré,Blindado,Valor
GM - CHEVROLET CLASSIC LIFE/LS 1.0 VHC FLEXP. 4P,GM - CHEVROLET,Sedã,2007,1000,1,Flex,Manual,Hidráulica,Preto,4,7,0,1,1,0,1,0,1,0,0,0,14000
VW - VOLKSWAGEN GOL,VW - VOLKSWAGEN,Passeio,2013,41917,1,Flex,Manual,Hidráulica,Branco,4,3,1,1,1,1,1,1,1,0,0,0,30000
HONDA CIVIC SED. LXL/ LXL SE 1.8 FLEX 16V AUT.,HONDA,Sedã,2010,165000,null,Gasolina,Automático,Hidráulica,Prata,4,9,1,1,1,1,1,1,1,1,0,0,33350
FIAT PUNTO ATTRACTIVE 1.4 FIRE FLEX 8V 5P,FIAT,null,2012,110000,1.4,Flex,Manual,Hidráulica,Preto,4,6,1,1,1,1,1,0,1,0,0,0,24500
FIAT 500 CULT 1.4 FLEX 8V EVO DUALOGIC,FIAT,Hatch,2012,52900,1.4,Flex,Automático,Elétrica,Branco,2,7,1,1,1,0,1,1,1,0,0,0,34500
FORD KA 1.5 SEDAN SEL 12V FLEX 4P MEC.,FORD,Sedã,2018,27000,1.5,Flex,Manual,Elétrica,Preto,4,0,1,1,1,1,1,1,1,1,0,0,44000
VW - VOLKSWAGEN VOYAGE 1.6 MSI FLEX 16V 4P AUT,VW - VOLKSWAGEN,Sedã,2019,65000,1.6,Flex,Automático,Hidráulica,Preto,4,8,1,1,1,1,1,1,1,1,0,0,62500
GM - CHEVROLET CELTA LIFE 1.0 MPFI VHC 8V 5P,GM - CHEVROLET,Hatch,2007,190,1,Flex,Manual,Mecânica,Prata,4,4,0,1,1,0,1,0,1,0,0,0,16000
VW - VOLKSWAGEN GOL (NOVO) 1.6 MI TOTAL FLEX 8V 4P,VW - VOLKSWAGEN,Hatch,2013,77000,1.6,Flex,Manual,Hidráulica,Prata,4,7,1,1,1,1,1,0,1,0,0,0,33000
JINBEI TOPIC VAN LON./GRAN TOPIC SL,JINBEI,Van/Utilitário,2011,500000,2,Gasolina,Manual,Hidráulica,Branco,4,5,1,1,1,1,0,1,1,0,0,0,25000
