modelo,marca,combustivel,cambio,direcao,cor,ano,quilometragem,potenciamotor,blindado,valor
AUDI Q3 2.0 TFSI QUAT. 170/180CV S-TRONIC 5P,AUDI,Gasolina,Automático,Elétrica,Azul,2016,59591,2.0,0,109000
AUDI Q3 2.0 TFSI QUAT. 170/180CV S-TRONIC 5P,AUDI,Gasolina,Automático,Elétrica,Azul,2016,59591,2.0,0,109000
AUDI Q3 PRESTIGE 1.4 TFSI FLEX S-TRONIC,AUDI,Gasolina,Automático,Elétrica,Preto,2016,73000,1.4,0,110000
AUDI Q3 PRESTIGE PLUS 1.4 TFSI FLEX S-TRONIC,AUDI,Flex,Automático,Hidráulica,Azul,2018,28000,1.4,0,129000
AUDI Q3 PRESTIGE PLUS 1.4 TFSI FLEX S-TRONIC,AUDI,Gasolina,Automático,Hidráulica,Preto,2016,73000,1.4,0,110000
AUDI Q3 PRESTIGE PLUS 1.4 TFSI FLEX S-TRONIC,AUDI,Flex,Automático,Elétrica,Cinza,2017,70000,1.4,0,125000
AUDI TT 2.0 16V TFSI S-TRONIC,AUDI,Gasolina,Automático,Hidráulica,Branco,2015,22,2.0,0,175000
BMW 320IA 2.0 TURBO/ACTIVEFLEX 16V 184CV  4P,BMW,Flex,Automático,Hidráulica,Branco,2015,120000,2.0,0,105000
BMW 320IA 2.0 TURBO/ACTIVEFLEX 16V 184CV 4P,BMW,Flex,Automático,Hidráulica,Branco,2015,100000,2.0,0,98000
BMW 320IA GT SPORT 2.0 TURBO 16V 184CV 5P,BMW,Flex,Automático,Elétrica,Branco,2015,70000,2.0,0,110000
BMW 320IA MODERN/SPORT TB 2.0/A.FLEX 16V 4P,BMW,Flex,Automático,Hidráulica,Vermelho,2015,67000,2.0,0,110000
BMW 320IA MODERN/SPORT TB 2.0/A.FLEX 16V 4P,BMW,Flex,Automático,Hidráulica,Branco,2015,72000,2.0,0,102990
BMW 328IA SPORT 2.0 16V/2.0 16V FLEX 4P,BMW,Flex,Automático,Hidráulica,Outra,2015,83000,2.0,0,121000
BMW 535IA M SPORT 3.0 24V 306CV BI-TURBO,BMW,Flex,Automático,Elétrica,Preto,2015,40000,2.0,0,169800
BMW 535IA M SPORT 3.0 24V 306CV BI-TURBO,BMW,Flex,Automático,Elétrica,Preto,2015,40000,2.0,0,169800
BMW X1 SDRIVE 20I 2.0/2.0 TB ACTI.FLEX AUT.,BMW,Flex,Automático,Elétrica,Branco,2017,50000,2.0,0,155000
BMW X1 SDRIVE 20I 2.0/2.0 TB ACTI.FLEX AUT.,BMW,Flex,Automático,Hidráulica,Cinza,2018,26500,2.0,0,162000
CHERY ARRIZO 5 RXT 1.5 16V TURBO FLEX AUT.,CHERY,Flex,Automático,Elétrica,Branco,2019,11000,1.5,0,65990
CHERY ARRIZO 5 RXT 1.5 16V TURBO FLEX AUT.,CHERY,Flex,Automático,Hidráulica,Branco,2019,15200,1.5,0,69990
CHERY ARRIZO 5 RXT 1.5 16V TURBO FLEX AUT.,CHERY,Flex,Automático,Elétrica,Branco,2019,16100,1.5,0,69990
CHERY CELER HATCH 1.5 16V FLEX 5P,CHERY,Flex,Manual,Hidráulica,Branco,2017,36,1.5,0,32000
CHERY CELER HATCH 1.5 16V FLEX 5P,CHERY,Flex,Manual,Hidráulica,Vermelho,2015,73000,1.5,0,28900
CHERY CELER SEDAN ACT 1.5 16V FLEX 5P,CHERY,Flex,Manual,Hidráulica,Vermelho,2016,150,1.5,0,28500
CHERY QQ,CHERY,Flex,Manual,Hidráulica,Vermelho,2015,47000,1.0,0,21500
CHERY QQ 1.0  ACT FL 12V/1.0 12V FLEX  5P,CHERY,Flex,Manual,Hidráulica,Branco,2018,52000,1.0,0,29000
CHERY QQ 1.0 ACT 12V 69CV 5P,CHERY,Gasolina,Manual,Hidráulica,Branco,2015,58,1.0,0,19300
CHERY QQ 1.0 ACT 12V 69CV 5P,CHERY,Flex,Manual,Mecânica,Branco,2018,80,1.0,0,28500
CHERY QQ 1.0 LOOK FL 12V/1.0 12V FLEX 5P,CHERY,Flex,Manual,Hidráulica,Branco,2018,48600,1.0,0,28000
CHERY QQ 1.0 LOOK FL 12V/1.0 12V FLEX 5P,CHERY,Flex,Manual,Hidráulica,Branco,2018,65000,1.0,0,27990
CHERY QQ 1.0 LOOK FL 12V/1.0 12V FLEX 5P,CHERY,Flex,Manual,Elétrica,Branco,2018,12000,1.0,0,28000
CHERY QQ 1.0 LOOK FL 12V/1.0 12V FLEX 5P,CHERY,Gasolina,Manual,Hidráulica,Prata,2018,52411,1.0,0,28900
CHERY QQ 1.0 LOOK FL 12V/1.0 12V FLEX 5P,CHERY,Flex,Manual,Hidráulica,Vermelho,2018,90000,1.0,0,23500
CHERY QQ 1.0 LOOK FL 12V/1.0 12V FLEX 5P,CHERY,Gasolina,Manual,Elétrica,Branco,2018,12000,1.0,0,28500
CHERY QQ 1.0 LOOK FL 12V/1.0 12V FLEX 5P,CHERY,Flex,Manual,Hidráulica,Branco,2018,23000,1.0,0,27900
CHERY QQ 1.0 LOOK FL 12V/1.0 12V FLEX 5P,CHERY,Flex,Manual,Hidráulica,Branco,2018,90000,1.0,0,25500
CHERY QQ 1.0 LOOK FL 12V/1.0 12V FLEX 5P,CHERY,Flex,Manual,Hidráulica,Branco,2019,86000,1.0,0,25000
CHERY QQ 1.0 LOOK FL 12V/1.0 12V FLEX 5P,CHERY,Flex,Manual,Hidráulica,Branco,2018,180000,1.0,0,25800
CHERY QQ 1.0 LOOK FL 12V/1.0 12V FLEX 5P,CHERY,Flex,Manual,Hidráulica,Branco,2018,95000,1.0,0,30000
CHERY QQ 1.0 LOOK FL 12V/1.0 12V FLEX 5P,CHERY,Flex,Manual,Hidráulica,Preto,2018,32074,1.0,0,28300
CHERY QQ 1.0 LOOK FL 12V/1.0 12V FLEX 5P,CHERY,Flex,Manual,Hidráulica,Branco,2018,180000,1.0,0,25800
CHERY QQ 1.0 LOOK FL 12V/1.0 12V FLEX 5P,CHERY,Flex,Manual,Hidráulica,Branco,2018,180000,1.0,0,25800
CHERY QQ 1.0 LOOK FL 12V/1.0 12V FLEX 5P,CHERY,Flex,Manual,Hidráulica,Branco,2018,180000,1.0,0,25800
CHERY QQ 1.0 LOOK FL 12V/1.0 12V FLEX 5P,CHERY,Flex,Manual,Hidráulica,Branco,2018,23500,1.0,0,27990
CHERY QQ 1.0 LOOK FL 12V/1.0 12V FLEX 5P,CHERY,Flex,Manual,Hidráulica,Branco,2018,180,1.0,0,22500
CHERY QQ 1.0 LOOK FL 12V/1.0 12V FLEX 5P,CHERY,Flex,Manual,Hidráulica,Branco,2018,23500,1.0,0,28000
CHERY QQ 1.0 LOOK FL 12V/1.0 12V FLEX 5P,CHERY,Gasolina,Manual,Hidráulica,Prata,2018,52411,1.0,0,28900
CHERY QQ 1.0 LOOK FL 12V/1.0 12V FLEX 5P,CHERY,Flex,Manual,Hidráulica,Branco,2018,30412,1.0,0,28000
CHERY QQ 1.0 LOOK FL 12V/1.0 12V FLEX 5P,CHERY,Flex,Manual,Elétrica,Branco,2018,31000,1.0,0,29900
CHERY QQ 1.0 LOOK FL 12V/1.0 12V FLEX 5P,CHERY,Flex,Manual,Hidráulica,Branco,2018,50999,1.0,0,27900
CHERY QQ 1.0 LOOK FL 12V/1.0 12V FLEX 5P,CHERY,Flex,Manual,Hidráulica,Branco,2018,23500,1.0,0,27900
CHERY QQ 1.0 LOOK FL 12V/1.0 12V FLEX 5P,CHERY,Flex,Manual,Hidráulica,Branco,2018,180,1.0,0,22500
CHERY QQ 1.0 LOOK FL 12V/1.0 12V FLEX 5P,CHERY,Flex,Manual,Hidráulica,Branco,2018,180,1.0,0,22500
CHERY QQ 1.0 LOOK FL 12V/1.0 12V FLEX 5P,CHERY,Flex,Manual,Hidráulica,Branco,2018,180000,1.0,0,25000
CHERY QQ 1.0 SMILE 12V FLEX 5P,CHERY,Flex,Manual,Mecânica,Branco,2018,17500,1.0,0,22000
CHERY QQ 1.1/1.0 12V 69CV 5P,CHERY,Gasolina,Manual,Hidráulica,Branco,2015,66000,1.0,0,19000
CHERY QQ 1.1/1.0 12V 69CV 5P,CHERY,Gasolina,Manual,Hidráulica,Preto,2015,12096,1.2,0,16000
CHERY TIGGO 2 1.5 16V FLEX MEC. 5P,CHERY,Flex,Manual,Hidráulica,Branco,2019,20000,1.5,0,55000
CHERY TIGGO 2 1.5 16V FLEX MEC. 5P,CHERY,Flex,Manual,Hidráulica,Branco,2019,37000,1.5,0,62400
CHERY TIGGO 2 ACT 1.5 16V FLEX AUT.5P,CHERY,Flex,Automático,Hidráulica,Outra,2019,18500,1.5,0,64000
CHERY TIGGO 2 ACT 1.5 16V FLEX AUT.5P,CHERY,Flex,Manual,Hidráulica,Branco,2019,14000,1.5,0,62000
CHERY TIGGO 2 ACT 1.5 16V FLEX AUT.5P,CHERY,Flex,Automático,Elétrica,Outra,2019,19000,1.5,0,66990
CHERY TIGGO 2 LOOK 1.5 16V FLEX AUT.5P,CHERY,Flex,Automático,Hidráulica,Branco,2019,28000,1.5,0,66500
CHERY TIGGO 2 LOOK 1.5 16V FLEX MEC. 5P,CHERY,Flex,Manual,Hidráulica,Preto,2019,59000,1.5,0,59000
CHERY TIGGO 2.0 16V AUT. 5P,CHERY,Gasolina,Automático,Hidráulica,Branco,2015,80000,2.0,0,35900
CHERY TIGGO 2.0 16V AUT. 5P,CHERY,Gasolina,Automático,Hidráulica,Branco,2015,64000,2.0,0,36000
CHERY TIGGO 2.0 16V AUT. 5P,CHERY,Gasolina,Automático,Hidráulica,Branco,2015,64000,2.0,0,36000
CHERY TIGGO 2.0 16V MEC. 5P,CHERY,Gasolina,Manual,Hidráulica,Branco,2015,36636,2.0,0,35000
CITROEN AIRCROSS EXC. ATACA. 1.6 FLEX 16V 5P AUT,CITROEN,Flex,Automático,Elétrica,Cinza,2018,70,1.6,0,36000
CITROEN AIRCROSS EXC. ATACA. 1.6 FLEX 16V 5P AUT,CITROEN,Flex,Automático,Elétrica,Cinza,2018,70,1.6,0,36000
CITROEN AIRCROSS FEEL 1.6 FLEX 16V 5P AUT.,CITROEN,Flex,Automático,Elétrica,Cinza,2017,36000,1.6,0,51990
CITROEN AIRCROSS FEEL 1.6 FLEX 16V 5P AUT.,CITROEN,Flex,Automático,Elétrica,Branco,2017,45239,1.6,0,51990
CITROEN AIRCROSS SALOMON EXCLUSIVE 1.6 FLEX MEC.,CITROEN,Flex,Manual,Elétrica,Vermelho,2018,57000,1.6,0,46900
CITROEN AIRCROSS START 1.5 FLEX 8V 5P MEC.,CITROEN,Flex,Manual,Elétrica,Branco,2017,23100,1.5,0,46990
CITROEN C3 ATTRA/ORIGINE PACK 1.5 FLEX 8V 5P MEC,CITROEN,Flex,Manual,Elétrica,Branco,2015,50000,1.5,0,35500
CITROEN C3 ATTRA/ORIGINE PACK 1.5 FLEX 8V 5P MEC,CITROEN,Flex,Manual,Assistida,Branco,2015,50000,1.5,0,33900
CITROEN C3 ATTRACTION PURE TECH 1.2 FLEX 12V MEC,CITROEN,Flex,Manual,Elétrica,Prata,2017,37300,1.2,0,38500
CITROEN C3 EXCL. 1.6 VTI FLEX START 16V 5P AUT.,CITROEN,Flex,Automático,Elétrica,Cinza,2016,22000,1.6,0,43800
CITROEN C3 EXCL. 1.6 VTI FLEX START 16V 5P AUT.,CITROEN,Flex,Automático,Elétrica,Preto,2015,119000,1.6,0,35000
CITROEN C3 EXCL. 1.6 VTI FLEX START 16V 5P AUT.,CITROEN,Flex,Automático,Elétrica,Preto,2015,120000,1.6,0,33000
CITROEN C3 EXCL. 1.6 VTI FLEX START 16V 5P AUT.,CITROEN,Flex,Automático,Elétrica,Branco,2019,29786,1.6,0,59900
CITROEN C3 EXCL./EXCL.SOLAR./SONORA 1.6 FLEX AUT,CITROEN,Flex,Automático,Elétrica,Branco,2015,110000,1.6,0,38400
CITROEN C3 EXCL./EXCL.SOLAR./SONORA 1.6 FLEX AUT,CITROEN,Flex,Automático,Elétrica,Branco,2015,60000,1.6,0,41000
CITROEN C3 EXCLUSIVE 1.5 FLEX 8V 5P MEC.,CITROEN,Flex,Manual,Elétrica,Cinza,2015,18200,1.6,0,39800
CITROEN C3 ORIGINE PURE TECH 1.2 FLEX 12V MEC,CITROEN,Flex,Manual,Elétrica,Branco,2018,38000,1.2,0,42000
CITROEN C3 ORIGINE PURE TECH 1.2 FLEX 12V MEC,CITROEN,Flex,Manual,Elétrica,Branco,2018,41000,1.2,0,38000
CITROEN C3 TENDANCE 1.5 FLEX 8V 5P MEC.,CITROEN,Flex,Manual,Elétrica,Branco,2015,42000,1.5,0,35900
CITROEN C3 TENDANCE 1.5 FLEX 8V 5P MEC.,CITROEN,Flex,Manual,Elétrica,Branco,2016,40508,1.5,0,36700
CITROEN C3 TENDANCE 1.5 FLEX 8V 5P MEC.,CITROEN,Flex,Manual,Elétrica,Vermelho,2015,55907,1.5,0,36500
CITROEN C3 TENDANCE 1.5 FLEX 8V 5P MEC.,CITROEN,Flex,Manual,Elétrica,Vermelho,2015,55236,1.5,0,36500
CITROEN C3 TENDANCE 1.5 FLEX 8V 5P MEC.,CITROEN,Flex,Manual,Elétrica,Branco,2016,50000,1.5,0,37000
CITROEN C3 TENDANCE 1.5 FLEX 8V 5P MEC.,CITROEN,Flex,Manual,Hidráulica,Branco,2016,40508,1.5,0,36700
CITROEN C3 TENDANCE 1.5 FLEX 8V 5P MEC.,CITROEN,Gasolina,Manual,Elétrica,Vermelho,2015,51000,1.5,0,35000
CITROEN C3 TENDANCE 1.5 FLEX 8V 5P MEC.,CITROEN,Flex,Manual,Elétrica,Preto,2015,65000,1.5,0,37000
CITROEN C3 TENDANCE 1.6 VTI FLEX START 16V AUT.,CITROEN,Flex,Automático,Hidráulica,Branco,2016,65000,1.6,0,38500
CITROEN C3 TENDANCE 1.6 VTI FLEX START 16V AUT.,CITROEN,Flex,Automático,Elétrica,Cinza,2015,66000,1.6,0,38900
CITROEN C3 TENDANCE 1.6 VTI FLEX START 16V AUT.,CITROEN,Flex,Automático,Hidráulica,Branco,2015,47000,1.6,0,40990
CITROEN C3 TENDANCE PURE TECH 1.2 FLEX 12V MEC.,CITROEN,Flex,Manual,Elétrica,Branco,2017,65390,1.2,0,39000
CITROEN C3 TENDANCE PURE TECH 1.2 FLEX 12V MEC.,CITROEN,Flex,Manual,Elétrica,Branco,2017,75320,1.2,0,38000
CITROEN C3 TENDANCE PURE TECH 1.2 FLEX 12V MEC.,CITROEN,Flex,Manual,Elétrica,Cinza,2018,45600,1.2,0,48990
CITROEN C3 URBAN TRAIL 1.6 FLEX 16V 5P AUT.,CITROEN,Flex,Automático,Elétrica,Branco,2019,14082,1.6,0,59900
CITROEN C4 CACTUS C-SERIES 1.6 16V FLEX AUT,CITROEN,Flex,Automático,Elétrica,Prata,2019,19700,1.6,0,62000
CITROEN C4 CACTUS FEEL 1.6 16V FLEX AUT.,CITROEN,Flex,Automático,Elétrica,Branco,2019,21000,1.6,0,79000
CITROEN C4 CACTUS FEEL 1.6 16V FLEX MEC.,CITROEN,Flex,Automático,Elétrica,Branco,2019,8700,1.6,0,64800
CITROEN C4 LOUNGE LIVE 1.6 TURBO FLEX AUT.,CITROEN,Flex,Automático,Hidráulica,Branco,2019,44000,1.6,0,71000
CITROEN C4 LOUNGE ORIGINE 1.6 TURBO FLEX  AUT.,CITROEN,Flex,Automático,Hidráulica,Branco,2017,56722,1.6,0,55500
CITROEN C4 LOUNGE ORIGINE 1.6 TURBO FLEX  AUT.,CITROEN,Flex,Automático,Elétrica,Branco,2018,40000,1.6,0,63000
