@relation SP_COMPLETO-weka.filters.unsupervised.attribute.OrdinalToNumeric-Rfirst-last-weka.filters.unsupervised.attribute.Normalize-S1.0-T0.0_predicted

@attribute modelo numeric
@attribute marca numeric
@attribute combustivel numeric
@attribute cambio numeric
@attribute direcao numeric
@attribute cor numeric
@attribute ano numeric
@attribute quilometragem numeric
@attribute potenciamotor numeric
@attribute blindado numeric
@attribute predictedvalor numeric
@attribute valor numeric

@data
0.011567,0,0,0,0.333333,0.222222,0,0.00675,0.266667,0,81154.907989,83800
0.77918,0.783784,0.2,0.5,0,0.555556,1,0.009937,0,0,50378.540376,40899
0.439012,0.324324,0.2,0.5,0.333333,0.111111,0.75,0.00099,0,0,39427.416751,51900
0.057308,0.027027,0,0,0.333333,0.333333,0.5,0.0027,0.666667,0,205366.686627,265000
0.93428,1,0,0,0,0.222222,0.5,0.0045,0.333333,0,110433.481376,134990
0.290747,0.189189,0.2,0.5,0,0,0.75,0.006878,0,0,41679.010361,39900
0.287592,0.189189,0.2,0,0,0.111111,0.5,0.006859,0.333333,0,98071.926857,98500
0.17613,0.162162,0.2,0.5,0.333333,0.222222,1,0.00783,0,0,51326.224098,37999
0.469506,0.324324,0.2,0,0.333333,0.111111,0,0.011102,0.333333,0,72959.018925,73900
0.929022,1,0.2,0.5,0.333333,0.444444,0.5,0.00649,0.133333,0,54324.43736,97390
0.404837,0.297297,0.2,0,0.333333,0.222222,1,0.00288,0.166667,0,91518.707526,205999
0.360673,0.27027,0.2,0.5,0,0.222222,1,0.005373,0,0,46907.696128,49390
0.963722,1,0.2,0.5,0,0.222222,0.25,0.005247,0.2,0,54202.658539,43900
0.355941,0.27027,0.2,0.5,0,0.222222,1,0.00144,0,0,46964.140609,39500
0.681388,0.702703,0.2,0.5,0.333333,0.111111,0.75,0.00684,0,0,44143.704729,41900
0.439537,0.324324,0.2,0.5,0,0.111111,0.75,0.00414,0,0,40516.49289,53000
0.835436,0.918919,0.2,0.5,0.333333,0.222222,0.75,0.00675,0.166667,0,65411.478133,44999
0.973186,1,0.2,0,0.333333,0.333333,1,0.003608,0.133333,0,89428.945148,142195
0.513144,0.486486,0.4,0.5,0,0.222222,0.75,0.00792,0.333333,0,81104.441625,93900
0.457939,0.324324,0.2,0,0,0.111111,0.5,0.0072,0.2,0,71823.929586,34900
0.350683,0.27027,0.2,0.5,0,0.333333,0.25,0.008007,0.133333,0,46697.920665,41900
0.309148,0.189189,0.2,0,0,0.222222,0.5,0.01143,0.666667,0,178272.636827,135900
0.440063,0.324324,0.2,0.5,0,0.222222,0.5,0.00531,0,0,37527.926736,47000
0.353838,0.27027,0.2,0,0.333333,0.111111,0.75,0.0054,0.133333,0,75027.594573,56000
0.82755,0.918919,0.2,0.5,0.333333,0.444444,0.25,0.00702,0.1,0,47771.255355,38900
0.886961,1,0.4,0,0,0.222222,1,0.003285,0.666667,0,225163.709228,215000
0.414301,0.297297,0.2,0,0,0.555556,1,0.00216,0.266667,0,115763.534093,115850
0.665615,0.702703,0.2,0,0.333333,0.333333,1,0.00225,0.2,0,107528.191244,96890
0.749737,0.783784,0.2,0.5,0,0.222222,0.25,0.0099,0.2,0,55436.249658,41990
0.130389,0.162162,0.2,0.5,0,0.111111,1,0.00495,0,0,53731.763394,54990
0.927445,1,0.2,0.5,0,0,0.25,0.00639,0,0,40617.355981,34700
0.330179,0.27027,0.2,0.5,0,0,0.25,0.00918,0,0,38055.866313,29900
0.235542,0.162162,0.2,0.5,0,0,0.25,0.007866,0,0,37830.603231,32900
0.822818,0.918919,0.2,0.5,0.333333,0.111111,0.25,0.005058,0.1,0,47469.602279,39990
0.95163,1,0.2,0,0,0.111111,1,0.001353,0.2,0,100768.168705,54320
0.573607,0.621622,0.2,0,0,0.333333,0.25,0.00684,0.2,0,74116.167121,115000
0.359096,0.27027,0.2,0.5,0.333333,0.333333,1,0.000403,0.133333,0,63777.38611,67000
0.304942,0.189189,0.2,0.5,0,0.222222,0.75,0.0045,0,0,41263.717292,41900
0.297581,0.189189,0.2,0,0,0.333333,1,0.003609,0.166667,0,93545.899707,50000
0.402734,0.297297,0,0,0,0.333333,0.5,0.00378,0.166667,0,76282.650275,119790
0.895899,1,0.2,0.5,0,0.222222,0.25,0.006048,0.2,0,57527.34419,45799
0.506835,0.432432,0.2,0,0.333333,0.222222,1,0.0036,0.266667,0,114015.986719,87500
0.41062,0.297297,0.2,0,0.333333,0.333333,0,0.0054,0.166667,0,55622.3214,43200
0.895899,1,0.2,0.5,0.333333,0.111111,0.75,0.008055,0.2,0,70029.529947,47500
0.619874,0.675676,0,0,0.333333,0.222222,0.25,0.008253,0.333333,0,101354.998624,72000
0.508412,0.432432,0.2,0,0,0.222222,0.25,0.00333,0.266667,0,76080.404796,68800
0.45163,0.324324,0.2,0,0.333333,0,0.25,0.0045,0.2,0,63209.317464,52900
0.359096,0.27027,0.2,0.5,0,0.222222,0.75,0.00396,0.133333,0,55841.482356,58900
0.508412,0.432432,0.2,0,0.333333,0.333333,0.5,0.0045,0.266667,0,87661.124208,58900
0.901157,1,0.2,0.5,0,0.111111,0.25,0.007865,0.2,0,57038.029703,44900
0.781283,0.783784,0.2,0.5,0,0.222222,0.5,0.004297,0,0,40559.792238,40500
0.350683,0.27027,0.2,0.5,0,0.222222,0.25,0.0135,0.133333,0,46776.942942,34900
0.464774,0.324324,0,0,0.333333,0.111111,0,0.0036,0.266667,0,69328.695737,62900
0.355941,0.27027,0.2,0.5,0,0.222222,0.5,0.010186,0,0,39086.828717,40000
0.342271,0.27027,0.2,0,0,0,0,0.00405,0.266667,0,68329.75561,64000
0.438486,0.324324,0.2,0,0,0,0,0.005607,0.2,0,58405.427572,43000
0.678759,0.702703,0.2,0,0.333333,0.555556,0.75,0.002106,0.333333,0,123976.299804,74099
0.443743,0.324324,0.2,0,0,0,0,0.000004,0.2,0,57882.271152,39900
0.399579,0.297297,0.2,0,0,0,0.25,0.01206,0.333333,0,84411.539554,70000
0.352787,0.27027,0.2,0.5,0,0.111111,0.25,0.008457,0,0,37108.082816,39490
0.174553,0.162162,0.2,1,0.333333,0.555556,0.75,0.005607,0,0,34201.328674,37500
0.724501,0.783784,0.2,0,0,0.111111,1,0.003654,0.2,0,104662.564217,85370
0.822292,0.918919,0.2,0,0.666667,0,0.5,0.006399,0.166667,0,76293.515177,50390
0.047319,0.027027,0.2,0,0,0.111111,0.75,0.00171,0.333333,0,121196.240755,170000
0.584648,0.621622,0.2,0,0,0.666667,0,0.00387,0.2,0,67534.798463,125890
0.952156,1,0.2,0,0.333333,0,1,0.00243,0,0,65636.245782,73900
0.775499,0.783784,0.2,0.5,0,0.222222,0.5,0.00468,0,0,40804.923255,35990
0.483701,0.378378,0.2,0.5,0.333333,0.222222,0.25,0.004815,0.333333,0,64452.222767,48900
0.409569,0.297297,0.2,0,0.333333,0.222222,0.25,0.00525,0.166667,0,61361.991827,65000
0.497371,0.432432,0.2,0,0,0.111111,0.5,0.00477,0.333333,0,97835.024121,105000
0.382229,0.27027,0.2,0,0,0.222222,0,0.008146,0.266667,0,67414.903634,40000
0.17613,0.162162,0.2,0.5,0,0.555556,0.75,0.002562,0,0,47000.524765,39900
0.47266,0.324324,0.2,0,0,0.111111,0,0.00495,0.333333,0,72509.145661,57500
0.443743,0.324324,0.2,0,0,0.111111,0.25,0.00585,0.2,0,64692.648045,55000
0.943218,1,0.2,0,0,0.444444,0,0.00891,0.333333,0,82755.090557,64900
0.916404,1,0.2,0.5,0,0,0.5,0.01305,0.2,0,61523.568224,37990
0.698738,0.72973,0.2,0.5,0,0.222222,0,0.0072,0.2,0,51369.234669,42900
0.227129,0.162162,0.2,0,0,0.111111,0.75,0.00459,0.266667,0,101258.069297,85900
0.290747,0.189189,0.2,0.5,0,0,0,0.01089,0,0,35979.814599,38900
0.950053,1,0.2,0.5,0,0.222222,0.75,0.00495,0.2,0,67290.969422,50500
0.267087,0.189189,0,0.5,0,0.555556,0,0.0054,0,0,38690.141865,43000
0.450578,0.324324,0.2,0.5,0,0,1,0.004455,0,0,44063.100691,52500
0.355941,0.27027,0.2,0.5,0,0.222222,1,0.0054,0,0,47156.983591,47890
0.223975,0.162162,0.2,0.5,0,0.222222,0,0.00918,0.133333,0,44813.009565,54990
0.047844,0.027027,0.2,0,0,0.111111,0.5,0.003555,0.333333,0,106364.510726,140000
