@relation SE_COMPLETO-weka.filters.unsupervised.attribute.OrdinalToNumeric-Rfirst-last-weka.filters.unsupervised.attribute.Normalize-S1.0-T0.0_predicted

@attribute modelo numeric
@attribute marca numeric
@attribute combustivel numeric
@attribute cambio numeric
@attribute direcao numeric
@attribute cor numeric
@attribute ano numeric
@attribute quilometragem numeric
@attribute potenciamotor numeric
@attribute blindado numeric
@attribute predictedvalor numeric
@attribute valor numeric

@data
0.916071,1,0.2,0.5,0,0.222222,0.5,0.001233,0,0,39725.083178,38500
0.78125,0.892857,0.2,0.5,0,0.222222,0.25,0.000933,0.1,0,42438.429011,35000
0.557143,0.607143,0,0,0.333333,0.444444,1,0.000467,0.2,0,93364.719332,168000
0.391071,0.285714,0.2,0.5,0.333333,0.111111,0,0.001472,0.166667,0,48998.525168,45500
0.385714,0.25,0.4,0,0,0.777778,0.75,0.001183,0.333333,0,134287.603426,159900
0.9875,1,0.2,0.5,0,0.111111,0.5,0.002,0.2,0,60018.661037,47000
0.1625,0.178571,0.2,0.5,0,0.111111,0.25,0.001217,0.133333,0,45655.335263,44000
0.772321,0.892857,0.2,0,0,0.111111,0.25,0.001367,0.333333,0,82522.422197,77500
0.772321,0.892857,0.2,0,0.333333,0.111111,0.25,0.001283,0.333333,0,86390.548824,79800
0.4625,0.321429,0.2,0.5,0,0.666667,1,0.000583,0,0,49625.395015,47000
0.377679,0.25,0.2,0,0,0.222222,0,0.002117,0.266667,0,62321.845052,47900
0.254464,0.214286,0.2,0,0.333333,0.111111,0.5,0.000783,0.333333,0,84500.741606,115000
0.867857,1,0.2,0.5,0.333333,0.111111,0.25,0.000683,0.2,0,52606.887234,49500
0.588393,0.678571,0,0,0.333333,0.111111,0.75,0.001117,0.333333,0,96661.207239,116500
0.423214,0.285714,0.2,0,0.333333,0.666667,0.75,0.0006,0.166667,0,81230.493747,75900
0.373214,0.25,0.2,0,0,0.222222,0.25,0.001167,0.266667,0,68690.273753,55000
0.859821,1,0.2,0.5,0.333333,0.111111,0.25,0.001297,0,0,35045.002235,38000
0.065179,0.178571,0.2,0.5,0.333333,0,0.75,0.001499,0,0,43263.788856,41990
0.359821,0.25,0.2,0.5,0,0.111111,0,0.00145,0.133333,0,43742.125451,40500
0.772321,0.892857,0.2,0,0.333333,0.222222,0.25,0,0.333333,0,86749.699747,77000
0.91875,1,0,0,0,0.111111,0,0.001661,0,0,56941.032489,69800
0.772321,0.892857,0.2,0,0.333333,0.222222,0.25,0.000003,0.333333,0,86749.83017,79000
0.132143,0.178571,0.2,0.5,0,0.111111,0,0.001433,0.133333,0,42270.359015,36000
