Modelo,Marca,Tipo de veículo,Ano,Quilometragem,Potência do motor,Combustível,Câmbio,Direção,Cor,Portas,Final de placa,Vidro elétrico,Trava elétrica,Ar condicionado,Direção hidráulica,Som,Air bag,Alarme,Sensor de ré,Câmera de ré,Blindado,Valor
PEUGEOT 2008 ALLURE PACK 1.6 FLEX 16V AUT.,PEUGEOT,SUV,2022,18100,1.6,Flex,Automático,Elétrica,Cinza,6,0,0,0,0,0,0,0,0,0,0,90.000
VW - VOLKSWAGEN VOYAGE COMFORTLINE 1.0 T.FLEX 12V 4P,VW - VOLKSWAGEN,Sedã,2019,45000,1.0,Flex,Manual,Elétrica,Cinza,9,1,1,1,1,1,1,1,1,0,0,56.000
FIAT TORO RANCH 2.0 16V 4X4 DIESEL AUT.,FIAT,Passeio,2020,41000,2.0 - 2.9,Diesel,Automático,Elétrica,Cinza,2,1,1,1,0,1,1,1,1,1,0,173.000
VW - VOLKSWAGEN SAVEIRO 1.6 MI TOTAL FLEX 8V CE,VW - VOLKSWAGEN,Pick-up,2014,0,1.6,Flex,Manual,Hidráulica,Branco,1,1,1,1,1,1,0,1,0,0,0,38.000
HYUNDAI HB20S,HYUNDAI,Sedã,2015,109000,1.6,Flex,Automático,Hidráulica,Preto,2,0,1,1,1,1,1,1,1,1,0,56.000
FORD FOCUS 1.6 S/SE/SE PLUS FLEX 8V/16V  5P,FORD,Hatch,2012,90273,1.6,Flex,Manual,Hidráulica,Azul,4,1,1,1,1,1,1,1,1,0,0,32.000
VW - VOLKSWAGEN UP! TAKE 1.0 TOTAL FLEX 12V 5P,VW - VOLKSWAGEN,Hatch,2014,88000,1.0,Flex,Manual,Elétrica,Vermelho,1,1,1,1,0,0,1,1,0,0,0,37.000
JEEP COMPASS SPORT 2.0 16V 156CV 5P,JEEP,SUV,2017,70000,2.0 - 2.9,Flex,Automático,Hidráulica,Branco,9,1,1,1,1,1,1,1,1,1,0,101.000
MITSUBISHI PAJERO SPORT HPE 2.4 4X4 DIESEL AUT.,MITSUBISHI,Passeio,2009,304916,2.0 - 2.9,Diesel,Manual,Hidráulica,Preto,9,1,1,1,1,1,1,1,1,1,0,65.000
VW - VOLKSWAGEN TIGUAN,VW - VOLKSWAGEN,Hatch,2016,134420,2.0 - 2.9,Gasolina,Manual,Hidráulica,Branco,4,0,0,0,0,0,0,0,0,0,0,91.900
FORD FIESTA 1.0I 3P E 5P,FORD,Hatch,2004,180000,1.0,Gasolina,Manual,Hidráulica,Prata,9,1,0,1,1,0,1,1,0,0,0,15.000
FIAT UNO,FIAT,Hatch,2019,70000,1.0,Flex,Manual,Hidráulica,Branco,2,1,1,1,1,1,1,1,0,1,0,45.000
HONDA HR-V EXL 1.8 FLEXONE 16V 5P AUT.,HONDA,SUV,2019,42000,1.8,Flex,Automático,Elétrica,Outra,3,1,1,1,0,1,1,1,1,1,0,120.990
RENAULT MASTER 2.3 DCI EXECUTIVE LONGO 16L DIES,RENAULT,Van/Utilitário,2020,64000,2.0 - 2.9,Diesel,Manual,Hidráulica,Branco,6,1,1,1,1,1,1,1,0,0,0,195.000
TOYOTA HILUX CD SRV 4X4 3.0 8V 116CV TB DIESEL,TOYOTA,Pick-up,2011,0,3.0 - 3.9,Diesel,Automático,Hidráulica,Branco,8,0,0,0,1,0,0,0,0,0,0,110.000
RENAULT SANDERO EXPRESSION FLEX 1.6 16V 5P,RENAULT,Hatch,2019,65501,1.6,Flex,Manual,Hidráulica,Branco,5,0,1,1,1,1,1,1,1,1,0,52.500
FIAT STRADA TREKKING 1.6 MPI,FIAT,Van/Utilitário,2013,158000,1.6,Gasolina,Manual,Hidráulica,Branco,6,0,0,0,0,0,0,0,0,0,0,46.000
FIAT UNO MILLE 1.0/ I.E./ ELECTRONIC/  BRIO,FIAT,Hatch,2006,95000,1.0,Flex,Manual,Mecânica,Branco,8,0,0,0,0,0,0,0,0,0,0,10.000
FORD ECOSPORT SE 1.6 16V FLEX 5P MEC.,FORD,SUV,2017,49470,1.6,Flex,Manual,Elétrica,Branco,9,0,0,0,0,0,0,0,0,0,0,64.900
GM - CHEVROLET ASTRA 2.0/ CD/ SUNNY/ GLS 2.0 8V 3P,GM - CHEVROLET,Passeio,2003,267022,2.0 - 2.9,Gasolina,Manual,Hidráulica,Cinza,8,1,1,1,1,1,0,1,0,0,0,18.500
JEEP COMPASS LIMITED 2.0 4X2 FLEX 16V AUT.,JEEP,SUV,2017,70941,2.0 - 2.9,Flex,Automático,Assistida,Prata,2,1,1,1,1,1,1,1,1,1,0,128.000
FORD FIESTA CLASS 1.0 4P,FORD,Passeio,2009,130000,1.0,Flex,Manual,Hidráulica,Prata,8,1,1,1,1,1,0,1,0,0,0,20.000
FIAT UNO WAY CELEB. 1.0 EVO FIRE FLEX 8V 5P,FIAT,Hatch,2012,107000,1.0,Flex,Manual,Hidráulica,Prata,5,1,1,1,1,1,0,1,0,0,0,29.990
HYUNDAI HB20S EVOL. BLUELINK 1.0 FLEX 12 MEC,HYUNDAI,Sedã,2022,3558,1.0,Flex,Manual,Elétrica,Branco,2,1,1,1,0,1,1,1,0,1,0,85.000
FORD ECOSPORT FREESTYLE 1.6 16V FLEX 5P AUT.,FORD,SUV,2019,35900,1.6,Flex,Automático,Hidráulica,Prata,8,1,1,1,1,1,1,1,1,1,0,84.000
FIAT PALIO ATTRACTIVE 1.0 EVO FIRE FLEX 8V 5P,FIAT,Passeio,2016,77412,1.0,Flex,Manual,Hidráulica,Preto,8,1,1,1,1,1,1,1,1,0,0,41.000
GM - CHEVROLET HATCH PREM. 1.0 12V TB FLEX 5P AUT,GM - CHEVROLET,Hatch,2021,18000,1.0,Flex,Automático,Elétrica,Branco,0,0,0,0,0,0,0,0,0,0,0,94.990
FORD ECOSPORT XLT 2.0/ 2.0 FLEX 16V 5P AUT.,FORD,Passeio,2012,98125,2.0 - 2.9,Flex,Automático,Hidráulica,Prata,7,1,1,1,1,1,1,1,1,0,0,37.000
