@relation SP_KA-weka.filters.unsupervised.attribute.OrdinalToNumeric-Rfirst-last-weka.filters.unsupervised.attribute.Normalize-S1.0-T0.0_predicted

@attribute modelo numeric
@attribute marca numeric
@attribute combustivel numeric
@attribute cambio numeric
@attribute direcao numeric
@attribute cor numeric
@attribute ano numeric
@attribute quilometragem numeric
@attribute potenciamotor numeric
@attribute blindado numeric
@attribute predictedvalor numeric
@attribute valor numeric

@data
0,0,0,0,0,0.5,1,0.435632,0,0,43647.733729,40990
0,0,0,0,0.5,0,0.5,0.449692,0,0,38803.506676,37500
0,0,0,0,0.5,0.333333,0.75,0.306988,0,0,41784.972629,40300
0,0,0,0,0.5,0.5,0,0.913654,0,0,34257.16372,36990
0,0,0,0,0,0,0,0.516474,0,0,34807.76364,34500
0,0,0,0,0.5,0.166667,0.25,0.577,0,0,36512.024704,32000
0,0,0,0,0.5,0.5,1,0.310166,0,0,44330.08532,44000
0,0,0,0,0,0.333333,0.75,0.316127,0,0,41531.229017,43900
0,0,0,0,0.5,0,0.75,0.449692,0,0,41083.678834,39999
0,0,0,0,0,0,0,0.844748,0,0,34127.153707,34000
0,0,0,0,0.5,0,0.75,0.618405,0,0,40493.231987,38900
0,0,0,0,0.5,0.166667,1,0.084146,0,0,44951.18379,44900
0,0,0,0,0.5,0,0,0.509929,0,0,34964.399041,34790
0,0,0,0,0,0.166667,0,0.899594,0,0,34065.267496,30000
0,0,0,1,0.5,0.5,0.75,0.470781,0,0,43186.062007,43900
0,0,0,0,0.5,0.333333,0.25,0.372365,0,0,37151.045527,36500
0,0,0,0,0.5,0.166667,0.75,0.49187,0,0,41029.925548,49800
0,0,0,0,0.5,0,0,0.150689,0,0,35813.884453,30900
0,0,0,0,0,0.333333,0.5,0.540375,0,0,38483.059173,37000
0,0,0,0,0,0.833333,1,0.172017,0,0,44808.373938,48500
0,0,0,0,0,0.333333,0.5,0.660584,0,0,38107.833129,41000
0,0,0,0,0,0.166667,1,0.386424,0,0,43627.363605,43490
0,0,0,0,0.5,0.5,0.75,0.548108,0,0,41021.998536,38900
0,0,0,0,0.5,0,0.75,0.365335,0,0,41382.640251,34900
0,0,0,0,0.5,0.333333,0.5,0.660584,0,0,38301.472202,40900
0,0,0,0,0.5,0,0.25,0.400484,0,0,36710.389887,39800
0,0,0,0,0,0,0.75,0.351276,0,0,41250.568311,41500
0,0,0,0,0,0.166667,0.25,0.678861,0,0,35975.580623,34000
0,0,0,0,0.5,0.333333,1,0.124384,0,0,44963.641661,48990
0,0,0,0,0,0.166667,0.75,0.428603,0,0,41102.278729,39000
0,0,0,0,0.5,0.333333,0,0.683782,0,0,34469.784145,33900
0,0,0,0,0,0.166667,0.75,0.569197,0,0,40638.554499,41200
0,0,0,0,0.5,0.166667,0,0.948802,0,0,33908.422176,36900
0,0,0,0,0,0.166667,0.75,0.165691,0,0,41983.992726,36500
0,0,0,0,0.5,0,0,0.569745,0,0,34585.267199,33750
0,0,0,0,0,0.5,0.75,0.146886,0,0,42271.807944,40800
0,0,0,0,0,0.166667,0.5,0.000492,0,0,40039.261379,42900
0,0,0,0,0.5,0.166667,0.75,0.384168,0,0,41393.313164,41200
0,0,0,0,0.5,0,0.75,0.42087,0,0,41161.994955,40990
0,0,0,0,0.5,0.333333,0,0.620556,0,0,34597.735509,35900
0,0,0,0,0,0,1,0.217711,0,0,44272.35132,44990
0,0,0,0,0,0.333333,0,0.737911,0,0,34273.75538,34990
0,0,0,0,0.5,0.333333,0.75,0.562167,0,0,40910.519476,39990
0,0,0,0,0.5,0.333333,0,0.604346,0,0,34630.932398,37000
0,0,0,0,0,0.5,0.75,0.794148,0,0,40119.041172,38899
0,0,0,0,0.5,0,0.75,0.351276,0,0,41393.71489,40000
0,0,0,0,0,0.166667,0.75,0.569197,0,0,40638.554499,43500
0,0,0,0,0,0.666667,0,0.780089,0,0,34303.358991,36000
0,0,0,0,0,0.166667,0.75,0.618405,0,0,40477.780969,40000
0,0,0,0,0.5,0.166667,0.25,0.48484,0,0,36570.849026,34890
0,0,0,0,0,0,0,0.399078,0,0,34844.780163,36900
0,0,0,0,0,0.5,0.75,0.365335,0,0,41532.881146,38900
0,0,0,0,0.5,0,0.75,0.16077,0,0,42034.061681,42900
